produit_url,img_url,nom_produit,reference,categorie,sous_categorie,sous_sous_categorie,description,prix_initial,prix_promo,disponibilite,magasin
https://www.mytek.tn/telephone-portable-smartec-r28-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-smartec-r28-noir.jpg,Téléphone Portable SMARTEC R28 - Noir,SMARTEC-R28-BK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"TELEPHONE PORTABLE SMARTEC POWER R28 - Ecran:2.4""-Double SIM- Batterie:2500mAh-Bluetooth-Radio Fm sans fil-Torche - Lecteur carte mémoire - Couleur: Noir - Garantie:1an",59.000 DT,ND,En arrivage,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-smartec-r28-silver.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-smartec-r28-silver.jpg,Téléphone Portable SMARTEC R28 - Silver,SMARTEC-R28-SILVER,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"TELEPHONE PORTABLE SMARTEC POWER R28 - Ecran:2.4""-Double SIM- Batterie:2500mAh-Bluetooth-Radio Fm sans fil-Torche - Lecteur carte mémoire - Couleur: Silver - Garantie:1an",59.000 DT,ND,En arrivage,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-ipro-a20-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-ipro-a20-noir.jpg,Téléphone Portable IPRO A20 - Noir,IPRO-A20-BK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Écran:2.4"" (240 x 320px)-Double SIM- Mémoire RAM:32Mo- Stockage:32 Mo- Capacité Batterie:1400mAh- Appareil photo:0.08MP - Radio Fm sans fil - Lecteur MP3, MP4 - Torche Led- Lecteur carte mémoire - Couleur: Noir - Garantie: 1 an",59.000 DT,ND,Epuisé,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-ipro-a20-blanc.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-ipro-a20-blanc.jpg,Téléphone Portable IPRO A20 - Blanc,IPRO-A20-WH,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Écran:2.4"" (240 x 320px)-Double SIM- Mémoire RAM:32Mo- Stockage:32 Mo- Capacité Batterie:1400mAh- Appareil photo:0.08MP - Radio Fm sans fil - Lecteur MP3, MP4 - Torche Led- Lecteur carte mémoire - Couleur: Blanc - Garantie: 1 an",59.000 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : Commande 48h / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/cable-de-charge-anker-422-usb-c-vers-usb-c-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/c/_/c_ble_de_charge_anker_422_usb-c_vers_usb-c_-_no.jpg,Câble De Charge Anker 422 USB-C Vers USB-C - Noir,ANKER-TYPC-BK,TELEPHONIE & MONTRE CONNECTÉE,Accessoires Téléphonie,Câble Chargeur,Câble De Charge Anker 422 -USB-C versUSB-C- Charge maximale de 60 W-durabilité supérieure-charge sécurisée -3FT Braided- Longueur de câble: 0.9 m - Couleur: Noir - Garantie: 3mois,59.000 DT,29000,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : En Stock / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : En Stock / Magasin Béja: : En Stock / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : En Stock / Magasin Kairouan: : En Stock / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-lesia-l252-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_lesia_l252_-_noir-10.jpg,Téléphone Portable LESIA  L252  - Noir,LESIA-L252-BLACK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Ecran2.5""- Mémoire RAM:32 Mo- Stockage:32 Mo- Caméra Arrière:0.08MP-Double SIM- Capacité Batterie:1200mAh- Radio FM sans fil - Torche - Couleur: Noir - Garantie: 1 an",59.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-lesia-l252-rose.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_lesia_l252_-_rose.jpg,Téléphone Portable LESIA  L252  - Rose,LESIA-L252-PINK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Ecran2.5""- Mémoire RAM:32 Mo- Stockage:32 Mo- Caméra Arrière:0.08MP-Double SIM- Capacité Batterie:1200mAh- Radio FM sans fil - Torche - Couleur: Rose - Garantie: 1 an",59.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Arrivage / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : En Arrivage / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-lesia-l252-purple.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_lesia_l252_-_purple.jpg,Téléphone Portable LESIA  L252  - Purple,LESIA-L252-PURPLE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Ecran2.5""- Mémoire RAM:32 Mo- Stockage:32 Mo- Caméra Arrière:0.08MP-Double SIM- Capacité Batterie:1200mAh- Radio FM sans fil - Torche - Couleur: Purple  - Garantie: 1 an",59.900 DT,ND,En stock,Megastore Tunis Charguia: : Commande 48h / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-lesia-l252-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_lesia_l252_-_gris.jpg,Téléphone Portable LESIA  L252  - Gris,LESIA-L252-GREY,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Ecran2.5""- Mémoire RAM:32 Mo- Stockage:32 Mo- Caméra Arrière:0.08MP-Double SIM- Capacité Batterie:1200mAh- Radio FM sans fil - Torche - Couleur: Gris  - Garantie: 1 an",59.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-lesia-l252-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_lesia_l252_-_bleu.jpg,Téléphone Portable LESIA  L252  - Bleu,LESIA-L252-DBLUE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Ecran2.5""- Mémoire RAM:32 Mo- Stockage:32 Mo- Caméra Arrière:0.08MP-Double SIM- Capacité Batterie:1200mAh- Radio FM sans fil - Torche - Couleur: Bleu - Garantie: 1 an",59.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
